"","NAME","GEOID","hh_type_total_countE","aff_grade_avg","aff_grade_1","aff_grade_2","aff_grade_3","aff_grade_4","aff_grade_5","aff_grade_6","aff_grade_7","HBI_size_avg","HBI_size_1","HBI_size_2","HBI_size_3","HBI_size_4","HBI_size_5","HBI_size_6","HBI_size_7","PPI","hh_income_upper_limit_Q1E","hh_size_avg_overallE","white_perc","Cutoff_Perc","CAP_Perc","bachAbove","own_rate","Incentive_rate","Interrup","boil_rate"
"14","Census Tract 8464.05, DuPage County, Illinois","17043846405",1486,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",2.33393014729059,1.35964931839834,1.99643417388347,2.63321902936861,3.27000388485374,3.90678874033888,4.54357359582401,5.18035845130914,9.28191489361702,32006,2.53,0.735372340425532,2.02764533378717,1.86667402204901,69.8400609291698,87.0744680851064,17.3630859139951,0,0
"15","Census Tract 8803.03, Will County, Illinois","17197880303",1255,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.19011866445212,0.578159856574603,0.848938090148728,1.11971632372285,1.39049455729698,1.6612727908711,1.93205102444523,2.20282925801935,9.82164671390178,75268,3.26,0.817248961641827,1.33828702292689,1.26491502000854,61.3754646840149,93.1346200830687,17.8938924951897,52.8867034823634,0
"16","Census Tract 8803.05, Will County, Illinois","17197880305",1509,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.830219912167778,0.400586710158582,0.588199462127663,0.775812214096744,0.963424966065826,1.15103771803491,1.33865047000399,1.52626322197307,6.13435237329043,108633,3.29,0.771922767497989,0.94833232352895,0.883444419976145,73.2580037664783,99.798873692679,21.9010421848372,62.2511369991116,0
"17","Census Tract 8801.18, Will County, Illinois","17197880118",1444,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.889655823684688,0.423522492308099,0.62187710140452,0.82023171050094,1.01858631959736,1.21694092869378,1.4152955377902,1.61365014688662,4.1907514450867,102750,3.35,0.795210569777044,0.865983346509037,0.812780075674791,71.424,92.3616845582164,19.1773661821905,0,0
"18","Census Tract 8465.04, DuPage County, Illinois","17043846504",2283,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",3.04938851192722,1.7292642990128,2.53915645417502,3.34904860933724,4.15894076449946,4.96883291966168,5.77872507482389,6.58861722998611,19.3118208758643,25165,2.63,0.856537435253492,10.2779831632823,9.83563141577453,49.918509895227,60.5188757691668,9.19180352219615,0,0
"19","Census Tract 8803.04, Will County, Illinois","17197880304",1515,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.946451314398328,0.462946128560183,0.679764597545898,0.896583066531613,1.11340153551733,1.33022000450304,1.54703847348876,1.76385694247447,5.45417264711913,94000,3.23,0.823240589198036,0.941456039177034,0.891532674742769,75.0801796023092,96.1947626841244,20.9937373709521,0,0
"20","Census Tract 8462.03, DuPage County, Illinois","17043846203",1505,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.12295592776812,0.612414310628743,0.899235443853112,1.18605657707748,1.47287771030185,1.75969884352622,2.04651997675059,2.33334110997496,7.7217308152044,71058,2.78,0.793661808928985,1.13735039116936,1.06694674447102,68.6743148502231,96.7965574946211,20.1438847236933,0,0
"21","Census Tract 8463.13, DuPage County, Illinois","17043846313",2226,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.15695960042042,0.74515301514824,1.09414164673484,1.44313027832143,1.79211890990803,2.14110754149462,2.49009617308122,2.83908480466782,5.02160938464705,58400,2.18,0.786581601152501,0.963694873777342,0.901993808695611,67.9466230936819,70.9199423749743,12.9867034141402,0,0
"22","Census Tract 8462.01, DuPage County, Illinois","17043846201",2214,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.59331348783281,0.864511911410239,1.26940167608945,1.67429144076865,2.07918120544786,2.48407097012706,2.88896073480627,3.29385049948548,12.9230769230769,50337,2.8,0.747213697302536,2.04298147793632,1.88805015765024,63.5542168674699,78.0164755289937,14.1349269783345,0,0
"23","Census Tract 8464.10, DuPage County, Illinois","17043846410",2129,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.91371039294438,1.12714815801537,1.65504227541739,2.18293639281941,2.71083051022143,3.23872462762345,3.76661874502547,4.29451286242749,16.0593538692712,38608,2.49,0.515214124718257,3.2543792555686,2.78107612679573,57.445652173913,34.9726775956284,6.14512901057736,0,0
"24","Census Tract 8462.08, DuPage County, Illinois","17043846208",1154,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.913927769214889,0.487218962623657,0.715405490212551,0.943592017801445,1.17177854539034,1.39996507297923,1.62815160056813,1.85633812815702,2.33474833232262,89317,2.87,0.833484162895928,0.784085571127507,0.74491677155625,79.8764342453663,98.7028657616893,22.6675663350949,0,0
"25","Census Tract 8462.09, DuPage County, Illinois","17043846209",1267,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.14394311888875,0.617550570971621,0.906777245651361,1.1960039203311,1.48523059501084,1.77445726969058,2.06368394437032,2.35291061905006,7.13087248322148,70467,2.82,0.898887276245767,1.10220769013084,1.06877352362324,73.7904922170804,92.9530201342282,19.7334995893746,0,0
